city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Constantine,40,DZ,1536874200,88,36.36,6.61,66.2,8.05
Mulege,0,MX,1536875705,39,26.88,-111.98,95.27,5.61
Wewak,76,PG,1536875962,97,-3.55,143.63,75.74,3.38
Vermes,75,CH,1536874200,100,47.33,7.47,62.6,6.93
Englewood,1,US,1536874500,2,39.65,-104.99,95.9,3.27
Progreso,40,UY,1536876000,93,-34.68,-56.22,60.8,8.05
Vieste,56,IT,1536875964,100,41.88,16.18,75.47,2.15
Shambu,76,ET,1536875964,97,9.57,37.1,56.12,1.92
Bowen,0,AU,1536872400,87,-20.01,148.25,59.0,8.05
San Ramon,20,NI,1536872400,57,12.92,-85.84,80.6,2.82
Alibag,40,IN,1536874200,78,18.64,72.88,80.6,4.7
Oussouye,20,SN,1536872400,83,12.49,-16.54,80.6,4.7
Qaqortoq,75,GL,1536871800,56,60.72,-46.03,44.6,9.17
Mazabuka,0,ZM,1536875966,33,-15.86,27.75,67.46,8.75
Obihiro,36,JP,1536875966,91,42.92,143.2,50.99,1.59
Tunduma,0,ZM,1536875967,68,-9.31,32.77,62.24,6.4
La Asuncion,75,EC,1536872400,48,-1.64,-78.74,66.2,25.28
Beringovskiy,92,RU,1536875967,99,63.05,179.32,51.17,17.81
Baracoa,8,CU,1536875761,89,20.35,-74.5,85.28,11.43
Bobrovka,88,RU,1536875968,46,52.3,45.54,64.85,5.95
Vangaindrano,56,MG,1536875968,98,-23.35,47.6,62.42,2.82
Pihuamo,90,MX,1536871200,78,19.25,-103.38,80.6,11.41
Aripuana,12,BR,1536875969,41,-9.17,-60.63,93.2,3.6
Hirara,44,JP,1536875969,99,24.8,125.28,83.84,19.71
Khartoum,0,SD,1536874200,51,15.59,32.54,86.0,4.7
Lasa,40,CY,1536874200,69,34.92,32.53,75.2,5.82
Little Current,1,CA,1536872400,60,45.98,-81.93,75.2,12.75
Manjeshwar,20,IN,1536874200,88,12.72,74.89,75.2,4.72
Acapulco,75,MX,1536871800,70,16.86,-99.88,87.8,11.41
Kenai,1,US,1536872160,57,60.55,-151.26,64.04,8.05
Aras,24,YE,1536875971,46,14.28,44.38,57.83,3.49
Jilin,0,CN,1536875921,92,43.84,126.54,59.0,5.5
Dingle,88,PH,1536875972,97,11.0,122.67,74.48,9.98
Doembang Nangbuat,92,TH,1536875972,100,14.85,100.1,72.95,4.16
Conway,40,US,1536874800,74,33.84,-79.05,84.92,5.82
Bo Rai,92,TH,1536875973,100,12.57,102.54,71.42,2.71
Dudinka,20,RU,1536875973,86,69.41,86.18,31.1,13.22
Ginda,44,IN,1536875973,100,30.69,78.49,52.52,1.92
Roebourne,0,AU,1536875974,50,-20.77,117.15,57.74,3.71
Winnipeg,90,CA,1536873540,87,49.88,-97.17,59.0,13.87
Biltine,76,TD,1536875974,77,14.53,20.93,74.48,8.97
Mananjary,36,MG,1536875975,87,-19.16,46.8,60.71,5.17
Mantena,88,BR,1536875975,68,-18.78,-40.98,69.08,10.2
Semirom,0,IR,1536875975,60,31.41,51.57,50.81,2.26
Denpasar,20,ID,1536874200,88,-8.65,115.22,71.6,1.12
Namatanai,88,PG,1536875976,100,-3.66,152.44,76.37,6.17
Cayenne,0,GF,1536874200,74,4.94,-52.33,84.2,8.05
Andra,92,RU,1536875977,96,62.52,65.89,49.55,4.5
Henties Bay,0,NA,1536875977,99,-22.12,14.28,54.68,5.61
Ous,92,RU,1536875978,94,60.91,61.52,49.82,10.2
Sorland,40,NO,1536870000,87,67.67,12.69,50.0,12.21
Luena,0,AO,1536875978,57,-11.78,19.91,64.22,3.15
Kaliua,0,TZ,1536875978,32,-5.06,31.79,75.38,6.17
Karachi,75,PK,1536872100,78,24.87,67.03,80.6,12.75
Sundargarh,48,IN,1536875979,94,22.12,84.04,73.58,2.59
Puerto del Rosario,0,ES,1536874200,83,28.5,-13.86,78.8,10.29
Lovosice,0,CZ,1536874200,87,50.52,14.05,60.8,6.93
Bilibino,76,RU,1536875980,68,68.06,166.44,41.18,2.93
Cardston,90,CA,1536872400,93,49.2,-113.32,41.0,11.41
Mayo,75,CA,1536874500,70,63.59,-135.9,48.2,10.29
Tezu,24,IN,1536875983,91,27.93,96.16,62.15,1.48
Harper,75,US,1536873300,55,30.3,-99.24,85.28,9.17
Hare Bay,75,CA,1536872400,49,48.86,-53.99,71.6,2.24
Surt,0,LY,1536875984,96,31.21,16.59,76.55,7.63
Koslan,92,RU,1536875985,98,63.46,48.9,50.72,7.4
Nishihara,90,JP,1536874020,94,35.74,139.53,71.6,5.82
Aykhal,0,RU,1536875985,77,65.95,111.51,23.0,2.71
Nipawin,90,CA,1536872400,62,53.36,-104.02,55.4,9.17
Sheridan,1,US,1536874500,2,39.65,-105.03,95.9,3.27
Srednekolymsk,88,RU,1536875987,91,67.46,153.71,35.33,4.94
Hamilton,75,BM,1536872100,74,32.3,-64.78,84.2,6.93
Codrington,0,AU,1536875987,91,-28.95,153.24,53.15,2.37
Praxedis Guerrero,1,MX,1536872280,18,31.37,-106.02,96.08,6.4
Xichang,92,CN,1536875988,100,27.88,102.25,56.03,1.7
Rajula,20,IN,1536875988,95,21.04,71.44,74.03,6.29
Cap Malheureux,20,MU,1536872400,78,-19.98,57.61,71.6,5.82
Stykkisholmur,12,IS,1536875989,100,65.08,-22.73,42.8,13.0
Lavrentiya,44,RU,1536875989,100,65.58,-170.99,47.21,11.77
Japura,68,ID,1536875989,98,-0.42,102.29,71.06,2.26
Kot Samaba,0,PK,1536875989,54,28.55,70.47,84.29,13.56
Barth,20,DE,1536873600,87,54.37,12.73,50.0,10.2
Balmazujvaros,0,HU,1536873300,72,47.62,21.35,66.2,2.24
Dalvik,0,SE,1536873600,87,57.79,14.13,50.0,9.17
San Patricio,100,PY,1536875991,100,-26.98,-56.83,65.21,6.73
Marystown,8,CA,1536875991,76,47.17,-55.16,66.11,4.27
Diapaga,0,BF,1536875991,59,12.07,1.79,79.07,4.38
Abu Samrah,68,SY,1536875992,54,35.3,37.18,76.91,16.8
Xining,92,CN,1536875992,100,36.62,101.77,39.02,2.48
Yertsevo,68,RU,1536875993,75,60.8,40.09,53.24,22.5
Dubai,0,AE,1536872400,70,25.27,55.3,89.6,6.93
Great Yarmouth,0,GB,1536873600,81,52.61,1.73,51.8,3.36
Kurumkan,92,RU,1536875993,99,54.33,110.32,33.17,2.15
Moroni,0,US,1536875920,12,39.52,-111.59,73.13,8.75
Gouyave,40,GD,1536872400,83,12.16,-61.73,84.2,5.82
Turukhansk,0,RU,1536875994,82,65.8,87.96,31.91,13.0
Naqadeh,0,IR,1536875994,100,36.96,45.39,69.98,1.92
Keti Bandar,88,PK,1536875995,99,24.14,67.45,79.34,17.25
Nerchinskiy Zavod,44,RU,1536875995,87,51.31,119.61,39.38,2.82
Laguna,40,MX,1536871200,35,27.52,-110.01,100.4,3.36
Berlevag,75,NO,1536871800,93,70.86,29.09,50.0,2.24
Nador,0,MA,1536874200,78,35.17,-2.93,75.2,4.7
Barinas,40,VE,1536872400,66,8.64,-70.23,87.8,4.05
Mpigi,12,UG,1536875997,100,0.23,32.32,68.63,3.6
Elat,80,CM,1536875997,95,2.91,11.16,69.08,2.26
Kattivakkam,90,IN,1536874200,88,13.22,80.32,77.0,11.41
Yeppoon,0,AU,1536874200,82,-23.13,150.74,64.4,8.05
Balabac,76,PH,1536875998,100,7.99,117.06,79.43,20.15
Tignere,76,CM,1536875998,96,7.37,12.65,62.6,2.48
Santa Maria,75,BR,1536872400,88,-29.69,-53.81,68.0,1.12
Alghero,20,IT,1536873600,94,40.56,8.32,69.8,1.12
Fort Nelson,40,CA,1536872400,42,58.81,-122.69,46.4,2.24
Luganville,92,VU,1536876001,100,-15.51,167.18,76.73,14.45
Buala,76,SB,1536876002,85,-8.15,159.59,83.03,9.42
Tanabe,76,JP,1536876062,96,33.73,135.39,72.23,10.98
Zhangye,92,CN,1536876004,96,38.94,100.46,44.69,6.62
Miri,32,NG,1536876006,91,10.31,9.75,70.34,3.15
Bria,0,CF,1536876007,89,6.54,21.99,71.15,2.93
Gold Coast,40,AU,1536874200,88,-28.0,153.41,62.6,2.24
Magadan,90,RU,1536872400,100,59.56,150.8,35.6,2.24
Mandera,8,ET,1536876068,48,3.94,41.86,84.74,14.45
Coleraine,75,GB,1536873600,93,55.13,-6.67,53.6,12.75
Areka,88,ET,1536876069,95,7.07,37.71,57.2,3.6
Kavaratti,92,IN,1536876070,100,10.57,72.64,81.68,7.18
Launceston,90,AU,1536874200,76,-41.43,147.14,51.8,19.46
Cabo San Lucas,75,MX,1536871500,70,22.89,-109.91,89.6,3.36
Saint-Georges,0,CA,1536876072,69,46.12,-70.67,73.22,2.71
Picton,0,NZ,1536874200,72,-41.29,174.01,59.0,21.92
Freeport,40,BS,1536872400,74,26.54,-78.7,87.8,4.94
Sao Filipe,100,CV,1536876015,99,14.9,-24.5,77.18,5.95
Grand-Santi,20,GF,1536876015,54,4.27,-54.38,87.98,4.16
Maryborough,0,AU,1536876075,86,-25.54,152.7,56.93,2.15
Richards Bay,24,ZA,1536876076,97,-28.77,32.06,60.98,2.82
Betanzos,0,ES,1536874200,88,43.28,-8.21,64.4,5.82
Kaputa,8,ZM,1536876077,76,-8.47,29.66,64.67,2.59
Xixiang,20,CN,1536874200,83,22.58,113.87,82.4,2.24
Hopelchen,40,MX,1536871200,52,19.77,-89.85,93.2,9.17
Mackay,90,CA,1536872400,74,53.65,-115.58,30.2,4.7
Tabuk,92,PH,1536876022,97,17.41,121.44,67.55,1.59
Batticaloa,24,LK,1536876023,100,7.71,81.69,75.29,4.38
Okakarara,0,NA,1536876082,31,-20.59,17.46,55.85,3.38
Pimentel,44,BR,1536876024,51,-3.7,-45.5,87.71,6.17
Ferrol,0,ES,1536874200,88,43.48,-8.23,64.4,5.82
Carnarvon,0,ZA,1536876025,64,-30.97,22.13,36.95,4.94
Hisai,75,JP,1536872400,94,34.67,136.47,69.8,14.99
Jardim,20,BR,1536876026,53,-21.48,-56.15,78.98,7.4
Tuatapere,0,NZ,1536876026,85,-46.13,167.69,52.97,17.58
Inyonga,48,TZ,1536876027,51,-6.72,32.06,70.61,2.93
Mehamn,75,NO,1536871800,93,71.03,27.85,50.0,2.24
Alice Springs,0,AU,1536874200,25,-23.7,133.88,62.6,10.29
Manokwari,64,ID,1536876029,100,-0.87,134.08,81.5,4.27
Rorvik,76,NO,1536876030,100,64.86,11.24,49.1,6.4
Verkhoyansk,0,RU,1536876030,71,67.55,133.39,20.57,2.48
Frontera,90,MX,1536871500,78,18.53,-92.64,82.4,6.62
Terrace,75,CA,1536872400,37,54.52,-128.61,55.4,9.17
